epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,884.317,1.1545,1.34899,1.28762,0.54974,0.54035,0.5356,0.34528,1.25595,2.46717,1.44119,0.000333133,0.000333133,0.0670198
2,2198.22,1.09045,1.14119,1.26387,0.6525,0.54939,0.58697,0.38285,1.30571,1.49544,1.48529,0.000644473,0.000644473,0.0339978
3,3317.46,1.04569,1.07237,1.25264,0.71193,0.58554,0.64562,0.42631,1.29984,1.33282,1.47367,0.000933813,0.000933813,0.000953833
